case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,8.070312500000003e-05,2422816.7628584737,5.4303537034209336e-11,-8.700446287111028e-30
misaligned,xz,-2.953125e-05,8.148437500000003e-05,2408111.140694562,1.1522308691622852e-11,-1.8460941011175117e-30
misaligned,xz,-2.953125e-05,8.226562500000004e-05,2392762.473450203,2.283998616824906e-12,-3.659408277812273e-31
misaligned,xz,-2.953125e-05,8.304687500000003e-05,2377009.0950187272,4.4188227259186744e-13,-7.079819580221494e-32
misaligned,xz,-2.953125e-05,8.382812500000003e-05,2360762.6314140023,7.93975266773942e-14,-1.2721051286884304e-32
misaligned,xz,-2.953125e-05,8.460937500000004e-05,2344172.217119399,1.3967086645744872e-14,-2.2378046914572248e-33
misaligned,xz,-2.953125e-05,8.539062500000003e-05,2327231.3485635784,2.2714123495259194e-15,-3.6392554892070477e-34
misaligned,xz,-2.953125e-05,8.617187500000004e-05,2310006.3845106433,3.638615148063787e-16,-5.82978890448413e-35
misaligned,xz,-2.953125e-05,8.695312500000003e-05,2292561.9139076835,5.3600815862416465e-17,-8.587923747108337e-36
misaligned,xz,-2.953125e-05,8.773437500000003e-05,2274890.3268814166,7.848211308902394e-18,-1.2574406436535594e-36
misaligned,xz,-2.953125e-05,8.851562500000004e-05,2257115.8233230542,1.0487399589542085e-18,-1.680291407824988e-37
misaligned,xz,-2.953125e-05,8.929687500000003e-05,2239166.9580258913,1.4087535890299046e-19,-2.2571050894869566e-38
misaligned,xz,-2.953125e-05,9.007812500000003e-05,2221216.184610478,1.7111598921714226e-20,-2.7416200363566055e-39
misaligned,xz,-2.953125e-05,9.085937500000004e-05,2203138.770958937,2.121747459935233e-21,-3.399462664188067e-40
misaligned,xz,-2.953125e-05,9.164062500000003e-05,2185144.784208534,2.34723854666088e-22,-3.760743431559102e-41
misaligned,xz,-2.953125e-05,9.242187500000004e-05,2167066.4614057597,2.710488099942036e-23,-4.34274038304407e-42
misaligned,xz,-2.953125e-05,9.320312500000004e-05,2149141.935815665,2.7350968413390205e-24,-4.382167170040681e-43
misaligned,xz,-2.953125e-05,9.398437500000003e-05,2131169.882647747,2.971702224708024e-25,-4.761254564230073e-44
misaligned,xz,-2.953125e-05,9.476562500000004e-05,2113408.2454460515,2.748080980666489e-26,-4.402967646715806e-45
misaligned,xz,-2.953125e-05,9.554687500000004e-05,2095630.5147706599,2.889877547731065e-27,-4.630152559406583e-46
misaligned,xz,-2.953125e-05,9.632812500000003e-05,2078107.548345662,2.448397195873947e-28,-3.922812715165511e-47
misaligned,xz,-2.953125e-05,9.710937500000004e-05,2060594.7842098388,2.621371689391315e-29,-4.19995111602933e-48
misaligned,xz,-2.953125e-05,9.789062500000004e-05,2043370.4398710574,2.024878275512198e-30,-3.2442504644281735e-49
misaligned,xz,-2.953125e-05,9.867187500000005e-05,2026177.744060581,2.3840887530591783e-31,-3.8197755120172087e-50
misaligned,xz,-2.953125e-05,9.945312500000004e-05,2009297.9941231455,1.6538698201691873e-32,-2.6498210555283434e-51
misaligned,xz,-2.953125e-05,0.00010023437500000004,1992466.7912576257,2.0112316522871432e-33,-3.2223835892596776e-52
misaligned,xz,-2.953125e-05,0.00010101562500000004,1975965.4188292301,1.321067098779669e-34,-2.116605407801426e-53
misaligned,xz,-2.953125e-05,0.00010179687500000004,1959525.2393921856,1.9237457178997937e-35,-3.0822137258978276e-54
misaligned,xz,-2.953125e-05,0.00010257812500000004,1943425.5245539781,1.2568250948856566e-36,-2.013676779552353e-55
misaligned,xz,-2.953125e-05,0.00010335937500000004,1927395.6826209268,2.175897423660544e-37,-3.486208264193952e-56
misaligned,xz,-2.953125e-05,0.00010414062500000004,1911711.9910991038,1.3878723323868894e-38,-2.2236388747278366e-57
misaligned,xz,-2.953125e-05,0.00010492187500000005,1896103.1797752897,2.569583776392548e-39,-4.116967739001026e-58
misaligned,xz,-2.953125e-05,0.00010570312500000004,1880842.4981442958,1.5948361375717306e-40,-2.555233407431541e-59
misaligned,xz,-2.953125e-05,0.00010648437500000004,1865658.3633776018,2.979464104051634e-41,-4.773672260814119e-60
misaligned,xz,-2.953125e-05,0.00010726562500000005,1850821.8555911803,1.789502008494031e-42,-2.8671239065099145e-61
misaligned,xz,-2.953125e-05,0.00010804687500000004,1836060.6399646117,3.3368099462824725e-43,-5.346205813453346e-62
misaligned,xz,-2.953125e-05,0.00010882812500000004,1821645.324609023,1.9376439145235017e-44,-3.104473859503763e-63
misaligned,xz,-2.953125e-05,0.00010960937500000005,1807301.6970827612,3.598406137199493e-45,-5.765329705391395e-64
misaligned,xz,-2.953125e-05,0.00011039062500000004,1793302.3621184835,2.0198587615874792e-46,-3.236195987495073e-65
misaligned,xz,-2.953125e-05,0.00011117187500000005,1779369.5649307799,3.734530765436722e-47,-5.983424109756304e-66
misaligned,xz,-2.953125e-05,0.00011195312500000005,1765781.0428640295,2.0263528963160387e-48,-3.246599198816488e-67
misaligned,xz,-2.953125e-05,0.00011273437500000004,1752253.4868661466,3.730192405531346e-49,-5.97647028141103e-68
misaligned,xz,-2.953125e-05,0.00011351562500000005,1739073.400919709,1.9566874682314572e-50,-3.1349805602721155e-69
