case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
aligned,xz,-2.953125e-05,7.054687500000003e-05,2616724.0789285274,0.00024943058360328855,-3.9960298508420516e-23
aligned,xz,-2.953125e-05,7.132812500000002e-05,2611347.695905707,0.00011115280347143882,-1.780754303543542e-23
aligned,xz,-2.953125e-05,7.210937500000003e-05,2605376.785524576,4.686696553566832e-05,-7.508526928810392e-24
aligned,xz,-2.953125e-05,7.289062500000003e-05,2598125.213908635,1.846464683812161e-05,-2.9582353423448166e-24
aligned,xz,-2.953125e-05,7.367187500000003e-05,2590262.962764291,6.889577328881355e-06,-1.1037935859623961e-24
aligned,xz,-2.953125e-05,7.445312500000003e-05,2581160.079633098,2.3979206167382783e-06,-3.8417859950478743e-25
aligned,xz,-2.953125e-05,7.523437500000002e-05,2571448.4864020897,7.911724482747459e-07,-1.267571161377536e-25
aligned,xz,-2.953125e-05,7.601562500000003e-05,2560572.9361724015,2.43016999818446e-07,-3.893500304973505e-26
aligned,xz,-2.953125e-05,7.679687500000003e-05,2549107.908255077,7.083527332133796e-08,-1.1348938122646159e-26
aligned,xz,-2.953125e-05,7.757812500000002e-05,2536586.73868731,1.917576784323057e-08,-3.072275303899874e-27
aligned,xz,-2.953125e-05,7.835937500000003e-05,2523510.4456034256,4.930244465907467e-09,-7.899095859658056e-28
aligned,xz,-2.953125e-05,7.914062500000003e-05,2509509.351907768,1.1740373193136052e-09,-1.8810144086567105e-28
aligned,xz,-2.953125e-05,7.992187500000004e-05,2494999.5346244276,2.705667069442416e-10,-4.334967261876038e-29
aligned,xz,-2.953125e-05,8.070312500000003e-05,2479711.1318028206,5.878935048341612e-11,-9.419138567831865e-30
aligned,xz,-2.953125e-05,8.148437500000003e-05,2463968.896682892,1.2487131998967946e-11,-2.000673335439478e-30
aligned,xz,-2.953125e-05,8.226562500000004e-05,2447600.5659678103,2.4775420747429705e-12,-3.969495136658132e-31
aligned,xz,-2.953125e-05,8.304687500000003e-05,2430838.2080827877,4.800241236366591e-13,-7.690913645449651e-32
aligned,xz,-2.953125e-05,8.382812500000003e-05,2413600.8656344768,8.635623480531781e-14,-1.3835952002296583e-32
aligned,xz,-2.953125e-05,8.460937500000004e-05,2396030.979293391,1.5217396835960785e-14,-2.43812572446984e-33
aligned,xz,-2.953125e-05,8.539062500000003e-05,2378129.7052393514,2.47819591237702e-15,-3.970558851813457e-34
aligned,xz,-2.953125e-05,8.617187500000004e-05,2359956.3835408427,3.9774852704952943e-16,-6.372719202443341e-35
aligned,xz,-2.953125e-05,8.695312500000003e-05,2341583.373167872,5.868088812528442e-17,-9.401843351344298e-36
aligned,xz,-2.953125e-05,8.773437500000003e-05,2322995.8203957267,8.61006368156562e-18,-1.3795034062024688e-36
aligned,xz,-2.953125e-05,8.851562500000004e-05,2304325.6992607005,1.1523670621505297e-18,-1.8463213226156706e-37
aligned,xz,-2.953125e-05,8.929687500000003e-05,2285494.1882784106,1.551402279509037e-19,-2.485655146910528e-38
aligned,xz,-2.953125e-05,9.007812500000003e-05,2266681.437020522,1.8875861778797778e-20,-3.024288451193484e-39
aligned,xz,-2.953125e-05,9.085937500000004e-05,2247755.288063663,2.3461882963805894e-21,-3.759059835226122e-40
aligned,xz,-2.953125e-05,9.164062500000003e-05,2228933.3641915135,2.6000623837430743e-22,-4.165815882993703e-41
aligned,xz,-2.953125e-05,9.242187500000004e-05,2210040.500816955,3.01023087492304e-23,-4.822986293769396e-42
aligned,xz,-2.953125e-05,9.320312500000004e-05,2191322.2009639917,3.0431510450443046e-24,-4.875729808153494e-43
aligned,xz,-2.953125e-05,9.398437500000003e-05,2172569.823380859,3.315756869668407e-25,-5.312497108057946e-44
aligned,xz,-2.953125e-05,9.476562500000004e-05,2154048.463090514,3.072255109099953e-26,-4.922357840811794e-45
aligned,xz,-2.953125e-05,9.554687500000004e-05,2135524.42984719,3.240878040927829e-27,-5.1925239573971585e-46
