step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1778,8.8703073052661004e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4511613690306614e-05,22358642.695835624,8.491360547538692,2602335748910792,1.3936268983809493e-05,6.0442782246675877e-12,6.3533416462371549e-07,105113.32222114188,0.027693522144487295,-4.3961968670777243e-13
1779,8.8753073052660997e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4512425687348281e-05,22358642.693573043,8.4913605466794095,2601351427936766.5,1.3930997657264622e-05,6.0442782257061816e-12,6.3557456763929554e-07,105153.09585455728,0.027682308419442039,-4.3990823469067046e-13
1780,8.880307305266099e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4513236753670024e-05,22358642.691386718,8.4913605458490871,2600364416621408,1.3925711923150521e-05,6.0442782267097706e-12,6.3581581047074034e-07,105193.00843251379,0.027671067780779476,-4.4019661857969152e-13
1781,8.8853073052660982e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4514046889950879e-05,22358642.689276848,8.4913605450478009,2599374717257689.5,1.3920411793746709e-05,6.0442782276782642e-12,6.360578942626867e-07,105233.06014438883,0.027659800252245827,-4.404848379476614e-13
1782,8.8903073052660975e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4514856096871832e-05,22358642.687243413,8.491360544275544,2598382332144524.5,1.391509728136456e-05,6.0442782286116721e-12,6.3630082016442292e-07,105273.25118032773,0.027648505857646413,-4.4077289236761873e-13
1783,8.8953073052660968e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4515664375115565e-05,22358642.685286652,8.4913605435324051,2597387263586762.5,1.3909768398347197e-05,6.0442782295098836e-12,6.3654458932990454e-07,105313.58173125006,0.027637184620847043,-4.4106078141281431e-13
1784,8.9003073052660961e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4516471725366699e-05,22358642.683406491,8.4913605428183576,2596389513895185.5,1.390442515706955e-05,6.0442782303729343e-12,6.3678920291776231e-07,105354.05198884635,0.027625836565772201,-4.4134850465671279e-13
1785,8.9053073052660953e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4517278148311559e-05,22358642.68160316,8.4913605421334903,2595389085386502.5,1.3899067569938257e-05,6.0442782312007175e-12,6.3703466209131709e-07,105394.66214558556,0.027614461716406954,-4.4163606167299344e-13
1786,8.9103073052660946e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4518083644638221e-05,22358642.679876685,8.4913605414778104,2594385980383343.5,1.389369564939169e-05,6.0442782319932219e-12,6.3728096801858943e-07,105435.41239471255,0.027603060096795248,-4.4192345203555181e-13
1787,8.9153073052660939e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4518888215036604e-05,22358642.67822722,8.4913605408513764,2593380201214257.5,1.3888309407899907e-05,6.0442782327503765e-12,6.3752812187231284e-07,105476.30293025298,0.027591631731041018,-4.4221067531850021e-13
1788,8.9203073052660931e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4519691860198225e-05,22358642.676654819,8.4913605402542096,2592371750213705,1.3882908857964625e-05,6.0442782334721563e-12,6.3777612482994539e-07,105517.33394701334,0.027580176643307249,-4.4249773109616731e-13
1789,8.9253073052660924e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4520494580816364e-05,22358642.675159544,8.491360539686335,2591360629722055,1.3877494012119209e-05,6.0442782341585336e-12,6.3802497807368122e-07,105558.50564058377,0.027568694857816437,-4.427846189431029e-13
1790,8.9303073052660917e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4521296377585994e-05,22358642.673741587,8.4913605391478235,2590346842085579.5,1.3872064882928618e-05,6.0442782348094173e-12,6.3827468279046412e-07,105599.81820734128,0.027557186398850856,-4.430713384340758e-13
