x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,2.3187499999999998e-05,165.6607507023082,0.0,-7158363.90692845,7158363.90692845,gas_gap,1.9140624999999994e-13
0.0,2.3624999999999998e-05,168.7931629271488,0.0,-7161312.291176624,7161312.291176624,gas_gap,1.9140624999999994e-13
0.0,2.4062499999999995e-05,171.92697157026086,0.0,-7164758.8436396485,7164758.8436396485,gas_gap,1.9140624999999994e-13
0.0,2.4499999999999996e-05,175.06240998163796,0.0,-7168775.259854243,7168775.259854243,gas_gap,1.9140624999999994e-13
0.0,2.4937499999999996e-05,178.19974460644744,0.0,-7173441.218593691,7173441.218593691,gas_gap,1.9140624999999994e-13
0.0,2.5374999999999997e-05,181.33927858275652,0.0,-7178844.855494783,7178844.855494783,gas_gap,1.9140624999999994e-13
0.0,2.5812499999999997e-05,184.48135553655408,0.0,-7185083.188562735,7185083.188562735,gas_gap,1.9140624999999994e-13
0.0,2.6249999999999998e-05,187.62636354919934,0.0,-7192262.477767832,7192262.477767832,gas_gap,1.9140624999999994e-13
0.0,2.6687499999999995e-05,190.77473926420123,0.0,-7200498.498921335,7200498.498921335,gas_gap,1.9140624999999994e-13
0.0,2.7124999999999995e-05,193.92697209113666,0.0,-7209916.710087071,7209916.710087071,gas_gap,1.9140624999999994e-13
0.0,2.7562499999999996e-05,197.0836084546104,0.0,-7220652.2870202605,7220652.2870202605,gas_gap,1.9140624999999994e-13
0.0,2.7999999999999996e-05,200.24525602553095,0.0,-7232850.002605716,7232850.002605716,gas_gap,1.9140624999999994e-13
0.0,2.8437499999999997e-05,203.41258786075366,0.0,-7246663.92408076,7246663.92408076,gas_gap,1.9140624999999994e-13
0.0,2.8874999999999997e-05,206.58634636549036,0.0,-7262256.9010673035,7262256.9010673035,gas_gap,1.9140624999999994e-13
0.0,2.9312499999999998e-05,209.76734698100896,0.0,-7279799.817200154,7279799.817200154,gas_gap,1.9140624999999994e-13
0.0,2.9749999999999995e-05,212.9564814883018,0.0,-7299470.578524595,7299470.578524595,gas_gap,1.9140624999999994e-13
0.0,3.0187499999999995e-05,216.15472080687871,0.0,-7321452.812944335,7321452.812944335,gas_gap,1.9140624999999994e-13
0.0,3.0625e-05,219.36311715697815,0.0,-7345934.25692606,7345934.25692606,gas_gap,1.9140624999999994e-13
0.0,3.1062499999999996e-05,222.5828054436642,0.0,-7373104.80849577,7373104.80849577,gas_gap,1.9140624999999994e-13
0.0,3.149999999999999e-05,225.8150037129026,0.0,-7403154.229369969,7403154.229369969,gas_gap,1.9140624999999994e-13
0.0,3.19375e-05,229.06101252322205,0.0,-7436269.483910072,7436269.483910072,gas_gap,1.9140624999999994e-13
0.0,3.2374999999999994e-05,232.3222130724376,0.0,-7472631.708508911,7472631.708508911,gas_gap,1.9140624999999994e-13
